QC file for A7b450775c2a8 has been detected, skip this sample
QC file for A1c97710783b5 has been detected, skip this sample
QC file for A0b94a132b026 has been detected, skip this sample
QC file for A324c36ebef0a has been detected, skip this sample
QC file for A315bbc10c524 has been detected, skip this sample
QC file for Ada12e7cdf069 has been detected, skip this sample
QC file for Af07a3f3d19e4 has been detected, skip this sample
QC file for A651108763598 has been detected, skip this sample
QC file for Aa7cb54bae25a has been detected, skip this sample
QC file for Aa864b005a914 has been detected, skip this sample
QC file for A7ba6c30ecb01 has been detected, skip this sample
QC file for Abaa84c980478 has been detected, skip this sample
QC file for Ae364134ab032 has been detected, skip this sample
QC file for A22e565ae7666 has been detected, skip this sample
QC file for A8e56f7a50ae9 has been detected, skip this sample
QC file for Aca36384d4ba3 has been detected, skip this sample
WARNING: fastp uses up to 16 threads although you specified 20
Read1 before filtering:
total reads: 47245840
total bases: 2409537840
Q20 bases: 2341951486(97.195%)
Q30 bases: 2262958592(93.9167%)

Read2 before filtering:
total reads: 47245840
total bases: 2409537840
Q20 bases: 2312757498(95.9834%)
Q30 bases: 2216705780(91.9971%)

Read1 after filtering:
total reads: 47195688
total bases: 2405204884
Q20 bases: 2337941309(97.2034%)
Q30 bases: 2259313540(93.9343%)

Read2 after filtering:
total reads: 47195688
total bases: 2405204884
Q20 bases: 2310235259(96.0515%)
Q30 bases: 2214710248(92.0799%)

Filtering result:
reads passed filter: 94391376
reads failed due to low quality: 71734
reads failed due to too many N: 28570
reads failed due to too short: 0
reads with adapter trimmed: 351360
bases trimmed due to adapters: 3553214

Duplication rate: 62.7164%

Insert size peak (evaluated by paired-end reads): 71

JSON report: /home/data/IO_RNA/EGA_IMvigor010/fq/Adca7d6c02cb6_fastp.json
HTML report: /home/data/IO_RNA/EGA_IMvigor010/fq/Adca7d6c02cb6_fastp.html

/home/circrna/miniconda3/bin/fastp -i /home/data/EGA/IMvigor010/raw/Adca7d6c02cb6_1.fastq.gz -I /home/data/EGA/IMvigor010/raw/Adca7d6c02cb6_2.fastq.gz -o /home/data/IO_RNA/EGA_IMvigor010/fq/Adca7d6c02cb6_1.fastq.gz -O /home/data/IO_RNA/EGA_IMvigor010/fq/Adca7d6c02cb6_2.fastq.gz -j /home/data/IO_RNA/EGA_IMvigor010/fq/Adca7d6c02cb6_fastp.json -h /home/data/IO_RNA/EGA_IMvigor010/fq/Adca7d6c02cb6_fastp.html -w 20 
fastp v0.23.4, time used: 155 seconds
QC file for A18a37569b601 has been detected, skip this sample
QC file for A51358fee26be has been detected, skip this sample
QC file for A8c0dd5356fa8 has been detected, skip this sample
QC file for Af83c56eb2a29 has been detected, skip this sample
QC file for A75e29ed8d35c has been detected, skip this sample
QC file for Aab8a7d9645b7 has been detected, skip this sample
QC file for A8a2176249336 has been detected, skip this sample
QC file for A6ad8781aa6fa has been detected, skip this sample
QC file for A8f34d518d91c has been detected, skip this sample
QC file for A88f612d5d171 has been detected, skip this sample
QC file for A6cd9ce113b52 has been detected, skip this sample
QC file for A17017a43f335 has been detected, skip this sample
QC file for A2d596d55324e has been detected, skip this sample
QC file for A4dede82cb98a has been detected, skip this sample
QC file for Ae16107b7c944 has been detected, skip this sample
QC file for A085d1eed8ed4 has been detected, skip this sample
QC file for A8c894eb88778 has been detected, skip this sample
QC file for Ae1814d874fa9 has been detected, skip this sample
QC file for A823beece47e8 has been detected, skip this sample
QC file for Aaede6adac7ed has been detected, skip this sample
QC file for Ac62ab1f9456f has been detected, skip this sample
QC file for A79acde9cce73 has been detected, skip this sample
QC file for Ad99068ed5166 has been detected, skip this sample
QC file for Acb5957503d68 has been detected, skip this sample
QC file for A4b4aa21d05a6 has been detected, skip this sample
QC file for A14e0cc658154 has been detected, skip this sample
QC file for Adba4a13c06e5 has been detected, skip this sample
QC file for Aa804cb73d4de has been detected, skip this sample
QC file for A7d1d40bcbb67 has been detected, skip this sample
QC file for A09c9eb4d5478 has been detected, skip this sample
QC file for Ad47f4da9e2e2 has been detected, skip this sample
QC file for A69087e7d67f7 has been detected, skip this sample
QC file for Aef1920769915 has been detected, skip this sample
QC file for A3bf11e0f3364 has been detected, skip this sample
QC file for A44dca9f32c88 has been detected, skip this sample
QC file for A9049fefa292d has been detected, skip this sample
QC file for Ae81f2c2dc444 has been detected, skip this sample
QC file for A9b6b1b307aa2 has been detected, skip this sample
QC file for Ab0a890f874cd has been detected, skip this sample
QC file for A13900c6494f6 has been detected, skip this sample
QC file for A08b8df82af83 has been detected, skip this sample
QC file for Ab2ed08a524f0 has been detected, skip this sample
QC file for Aa557ea20f322 has been detected, skip this sample
QC file for A8a75dba75cc2 has been detected, skip this sample
QC file for Afd9683c20055 has been detected, skip this sample
QC file for A518022868f3e has been detected, skip this sample
QC file for Ae43c9e3f70d0 has been detected, skip this sample
QC file for Ac83abe33e6f4 has been detected, skip this sample
QC file for Ab4340a81c6e0 has been detected, skip this sample
QC file for Ab69978d23778 has been detected, skip this sample
QC file for A1960d52816a9 has been detected, skip this sample
QC file for Ae3539a7925fb has been detected, skip this sample
QC file for A2be571a5e683 has been detected, skip this sample
QC file for Ae33a93be20ed has been detected, skip this sample
QC file for Aaa66c3117fc8 has been detected, skip this sample
QC file for Aeee8016b6a21 has been detected, skip this sample
QC file for A8f2f960ea45c has been detected, skip this sample
QC file for Af106e1acba93 has been detected, skip this sample
QC file for Ac89fc0cb5d09 has been detected, skip this sample
QC file for A5a06d094d32d has been detected, skip this sample
QC file for A5f452f7f7191 has been detected, skip this sample
QC file for A7006a686b8af has been detected, skip this sample
QC file for Aea9c72fd8f74 has been detected, skip this sample
QC file for A952960be8fbc has been detected, skip this sample
QC file for A62bdda357511 has been detected, skip this sample
QC file for A9c1957647179 has been detected, skip this sample
QC file for Ab498247f5114 has been detected, skip this sample
QC file for A61d6fbcd4496 has been detected, skip this sample
QC file for A5d52a30b7329 has been detected, skip this sample
QC file for Ab769213eb6cd has been detected, skip this sample
QC file for Af1bcac545a72 has been detected, skip this sample
QC file for A53da6df828d8 has been detected, skip this sample
QC file for Aed134fb6612a has been detected, skip this sample
QC file for Afc78ffa93378 has been detected, skip this sample
QC file for A917363425178 has been detected, skip this sample
QC file for A853d5391d7c7 has been detected, skip this sample
QC file for Ae237e1aef28e has been detected, skip this sample
QC file for Ab0f38ac7e4e4 has been detected, skip this sample
QC file for A1ff3e59d8833 has been detected, skip this sample
QC file for A12b3e22ce36b has been detected, skip this sample
QC file for A67f78a8efb7e has been detected, skip this sample
QC file for A9f0e9f1aedee has been detected, skip this sample
QC file for A055bdd197941 has been detected, skip this sample
QC file for A05e39bec66de has been detected, skip this sample
QC file for A9e64e53113e3 has been detected, skip this sample
QC file for A73d265951f08 has been detected, skip this sample
QC file for Afccec7c790b4 has been detected, skip this sample
QC file for A3fd2d323b492 has been detected, skip this sample
WARNING: fastp uses up to 16 threads although you specified 20
Read1 before filtering:
total reads: 50105309
total bases: 2555370759
Q20 bases: 2503575850(97.9731%)
Q30 bases: 2441084101(95.5276%)

Read2 before filtering:
total reads: 50105309
total bases: 2555370759
Q20 bases: 2471707439(96.726%)
Q30 bases: 2389833024(93.522%)

Read1 after filtering:
total reads: 50061297
total bases: 2537918334
Q20 bases: 2486822462(97.9867%)
Q30 bases: 2425088774(95.5542%)

Read2 after filtering:
total reads: 50061297
total bases: 2537918334
Q20 bases: 2456340970(96.7857%)
Q30 bases: 2375670265(93.607%)

Filtering result:
reads passed filter: 100122594
reads failed due to low quality: 55854
reads failed due to too many N: 32170
reads failed due to too short: 0
reads with adapter trimmed: 2651798
bases trimmed due to adapters: 30416862

Duplication rate: 57.8338%

Insert size peak (evaluated by paired-end reads): 70

JSON report: /home/data/IO_RNA/EGA_IMvigor010/fq/Abf0957f565c6_fastp.json
HTML report: /home/data/IO_RNA/EGA_IMvigor010/fq/Abf0957f565c6_fastp.html

/home/circrna/miniconda3/bin/fastp -i /home/data/EGA/IMvigor010/raw/Abf0957f565c6_1.fastq.gz -I /home/data/EGA/IMvigor010/raw/Abf0957f565c6_2.fastq.gz -o /home/data/IO_RNA/EGA_IMvigor010/fq/Abf0957f565c6_1.fastq.gz -O /home/data/IO_RNA/EGA_IMvigor010/fq/Abf0957f565c6_2.fastq.gz -j /home/data/IO_RNA/EGA_IMvigor010/fq/Abf0957f565c6_fastp.json -h /home/data/IO_RNA/EGA_IMvigor010/fq/Abf0957f565c6_fastp.html -w 20 
fastp v0.23.4, time used: 145 seconds
QC file for Add6122046bc1 has been detected, skip this sample
QC file for Af5bec22b7405 has been detected, skip this sample
QC file for Af3a0773adbd1 has been detected, skip this sample
QC file for A81c5eaebc2d5 has been detected, skip this sample
QC file for Acc6e68ca33cc has been detected, skip this sample
QC file for A0f852f2b2658 has been detected, skip this sample
QC file for A359a0f25d7e2 has been detected, skip this sample
QC file for Abee7cdbc548e has been detected, skip this sample
QC file for A84354da4e8c5 has been detected, skip this sample
QC file for Acf98e09e3211 has been detected, skip this sample
QC file for A6e4f522591e3 has been detected, skip this sample
QC file for A492026cf2214 has been detected, skip this sample
QC file for A3cf15d207745 has been detected, skip this sample
QC file for Aada0e8b35c58 has been detected, skip this sample
QC file for A5442ebbef218 has been detected, skip this sample
QC file for A7b5b90d613fb has been detected, skip this sample
QC file for A768d12f9b28a has been detected, skip this sample
QC file for A5ffb5903db59 has been detected, skip this sample
QC file for Ae762a46c9187 has been detected, skip this sample
QC file for A3d61a2c71c0d has been detected, skip this sample
QC file for A7a81fa90da27 has been detected, skip this sample
QC file for A384d562458e1 has been detected, skip this sample
QC file for Af8bd1944fc85 has been detected, skip this sample
QC file for Ac21bae8269de has been detected, skip this sample
QC file for Aee5fcd7259d4 has been detected, skip this sample
QC file for A36bfeff3d1fd has been detected, skip this sample
QC file for Ae9f7213fec74 has been detected, skip this sample
QC file for A282d5d0b8e04 has been detected, skip this sample
QC file for A903a00ab54c1 has been detected, skip this sample
QC file for A7a1a91326af4 has been detected, skip this sample
QC file for Aed06e64e8913 has been detected, skip this sample
QC file for A601be1a91947 has been detected, skip this sample
QC file for Ab64a5b289b46 has been detected, skip this sample
QC file for A1f89744afebc has been detected, skip this sample
QC file for A35215bb436f3 has been detected, skip this sample
QC file for A5ea18b9affae has been detected, skip this sample
QC file for A78643e452a3c has been detected, skip this sample
QC file for A7901ffdb00e0 has been detected, skip this sample
QC file for A8f580ab9be42 has been detected, skip this sample
QC file for A92ad131027c8 has been detected, skip this sample
QC file for A01f834b31d22 has been detected, skip this sample
QC file for A28747beacf72 has been detected, skip this sample
QC file for A28020b4e92b3 has been detected, skip this sample
QC file for A2677cad9f5e9 has been detected, skip this sample
QC file for Afc5357ad9351 has been detected, skip this sample
QC file for A5fae8352c6bf has been detected, skip this sample
QC file for A012f876013e0 has been detected, skip this sample
QC file for A01153e8a240c has been detected, skip this sample
QC file for A83759858598c has been detected, skip this sample
QC file for A4c9b1d9b2ae5 has been detected, skip this sample
QC file for Afb9b6c46c070 has been detected, skip this sample
QC file for Ae7b71e074597 has been detected, skip this sample
QC file for A29b867fecc7d has been detected, skip this sample
QC file for A76837f7853d2 has been detected, skip this sample
QC file for A0dbeb10e3d9f has been detected, skip this sample
QC file for A55fcbeadeebb has been detected, skip this sample
QC file for A179bff4c90f0 has been detected, skip this sample
QC file for A95508193b33e has been detected, skip this sample
QC file for A2e74bf050c9c has been detected, skip this sample
QC file for Acfd12dce7dae has been detected, skip this sample
QC file for A324213b80a08 has been detected, skip this sample
QC file for A0a1ce425c761 has been detected, skip this sample
QC file for Af8c3ac44175d has been detected, skip this sample
QC file for A550562554433 has been detected, skip this sample
QC file for A08540de68762 has been detected, skip this sample
QC file for A8e204e202cd3 has been detected, skip this sample
QC file for A3af1a802317a has been detected, skip this sample
QC file for A6081b1b06c14 has been detected, skip this sample
QC file for Ad4cc79e61468 has been detected, skip this sample
QC file for Ae73ac8c8bdb4 has been detected, skip this sample
QC file for A4b167b2c872c has been detected, skip this sample
QC file for A829eebfb6a60 has been detected, skip this sample
QC file for A5961d7caca43 has been detected, skip this sample
QC file for Ade8f26d71c0d has been detected, skip this sample
QC file for Aa05fce0c987f has been detected, skip this sample
QC file for A9742616b71c5 has been detected, skip this sample
QC file for Ab516f0973f44 has been detected, skip this sample
QC file for A7677993211a1 has been detected, skip this sample
QC file for Aa6d562fc2f9f has been detected, skip this sample
QC file for A0047e48e7484 has been detected, skip this sample
QC file for A770cef3fd722 has been detected, skip this sample
QC file for A94b4033f89d2 has been detected, skip this sample
QC file for A4228b364ceca has been detected, skip this sample
QC file for A41d2013452e5 has been detected, skip this sample
QC file for A2667376d9067 has been detected, skip this sample
QC file for A4e609ac5dc69 has been detected, skip this sample
QC file for Ab383c390fbb5 has been detected, skip this sample
QC file for A086a2dda784d has been detected, skip this sample
QC file for A602189d906fc has been detected, skip this sample
QC file for Afbdbc0c09647 has been detected, skip this sample
QC file for Ab73bd497276c has been detected, skip this sample
QC file for Ae2e046958167 has been detected, skip this sample
QC file for Ac893f1c45345 has been detected, skip this sample
QC file for A4474ad7e5134 has been detected, skip this sample
No multiQC set, skip it
